excution_number,best_genes,best_fitness
1,"[6, 7, 3, 2, 4, 5, 1, 0, 9, 8]",3489
2,"[3, 7, 6, 0, 2, 1, 8, 4, 9, 5]",2782
3,"[7, 0, 3, 4, 1, 5, 6, 9, 8, 2]",3176
4,"[9, 8, 7, 6, 1, 0, 5, 2, 4, 3]",3021
5,"[9, 0, 7, 5, 1, 4, 6, 2, 3, 8]",2962
6,"[3, 6, 1, 7, 8, 2, 5, 4, 0, 9]",3928
7,"[6, 0, 8, 9, 1, 2, 3, 4, 7, 5]",3953
8,"[9, 7, 6, 3, 1, 5, 8, 0, 4, 2]",2633
9,"[7, 2, 0, 4, 8, 1, 5, 9, 6, 3]",3038
10,"[7, 1, 3, 9, 0, 8, 5, 2, 4, 6]",2903
11,"[3, 7, 0, 1, 5, 8, 4, 6, 2, 9]",2442
12,"[8, 5, 2, 6, 3, 4, 1, 0, 9, 7]",2634
13,"[2, 1, 5, 0, 9, 4, 6, 7, 3, 8]",2587
14,"[7, 5, 9, 2, 4, 3, 8, 0, 1, 6]",2552
15,"[4, 3, 8, 7, 2, 5, 1, 9, 0, 6]",4000
16,"[6, 0, 3, 8, 4, 9, 2, 1, 7, 5]",3423
17,"[8, 1, 0, 2, 4, 3, 9, 7, 5, 6]",2257
18,"[1, 0, 7, 3, 4, 6, 5, 8, 9, 2]",2845
19,"[1, 6, 0, 7, 5, 4, 3, 9, 8, 2]",3811
20,"[0, 4, 5, 8, 2, 1, 9, 7, 6, 3]",3189
