n,parte1,parte1 fit,parte2,parte2 fit,parte3,parte3 fit,parte4,parte4 fit,greedy fit
10,0.5415 s,3005,0.5986 s,3073,0.6836 s,3011,0.7317 s,2991,3180
15,2.1195 s,8505,2.1866 s,8503,2.8336 s,8831,2.6214 s,8252,8840
20,5.9059 s,16404,5.7061 s,16667,7.6065 s,16929,7.3079 s,16114,17671
25,13.2031 s,24697,13.1723 s,24550,17.1822 s,25130,17.1913 s,23902,24782
30,26.9565 s,32009,26.9495 s,31828,35.1564 s,33255,35.1359 s,31653,33289
35,49.4599 s,53667,49.5809 s,52863,64.5618 s,53979,64.5606 s,52766,54499
40,83.9246 s,64088,83.8220 s,65230,109.5271 s,66312,109.3343 s,64695,65637
45,135.9566 s,76472,135.3473 s,76989,176.4130 s,78645,179.4772 s,77123,78906
50,206.1258 s,90393,207.0836 s,89649,271.6046 s,92100,269.9092 s,90594,92266
55,301.7980 s,120252,304.8117 s,121405,459.8688 s,122119,409.7465 s,120862,120517
60,442.6448 s,153135,442.5026 s,154563,635.6078 s,155749,633.6828 s,154728,154077
65,667.6156 s,172050,663.4504 s,169919,806.8647 s,172962,811.8857 s,171826,172706
