excution_number,best_genes,best_fitness
1,"[6, 9, 0, 5, 3, 1, 2, 4, 7, 8]",2795
2,"[5, 4, 3, 0, 8, 2, 7, 1, 6, 9]",4086
3,"[7, 0, 6, 3, 2, 4, 9, 1, 5, 8]",2624
4,"[9, 1, 0, 3, 5, 2, 8, 4, 7, 6]",3241
5,"[1, 3, 8, 0, 5, 4, 2, 7, 6, 9]",3342
6,"[1, 3, 9, 5, 7, 0, 4, 2, 6, 8]",2957
7,"[0, 4, 1, 8, 5, 3, 9, 6, 2, 7]",3141
8,"[4, 6, 0, 2, 7, 5, 1, 8, 3, 9]",3069
9,"[2, 8, 4, 9, 0, 6, 5, 3, 7, 1]",2903
10,"[4, 9, 2, 0, 3, 1, 7, 5, 8, 6]",3342
11,"[9, 2, 1, 3, 7, 0, 5, 6, 4, 8]",4007
12,"[4, 2, 7, 0, 5, 1, 3, 6, 8, 9]",3058
13,"[9, 0, 4, 7, 6, 8, 3, 1, 5, 2]",4237
14,"[2, 8, 7, 3, 9, 0, 5, 4, 1, 6]",3438
15,"[9, 5, 8, 0, 7, 4, 1, 2, 3, 6]",2920
16,"[0, 6, 1, 8, 2, 3, 4, 9, 5, 7]",3408
17,"[1, 0, 9, 3, 5, 4, 7, 8, 6, 2]",4146
18,"[1, 9, 3, 0, 6, 7, 4, 2, 8, 5]",3973
19,"[0, 3, 1, 4, 5, 7, 6, 8, 2, 9]",2653
20,"[9, 6, 4, 5, 1, 2, 3, 0, 7, 8]",3769
