excution_number,best_genes,best_fitness
1,"[5, 0, 4, 8, 3, 2, 6, 9, 7, 1]",4086
2,"[6, 9, 0, 4, 1, 5, 3, 7, 8, 2]",2968
3,"[0, 4, 2, 6, 3, 1, 7, 5, 8, 9]",2769
4,"[5, 0, 4, 8, 7, 3, 1, 2, 9, 6]",3429
5,"[1, 8, 9, 6, 2, 0, 3, 4, 7, 5]",3795
6,"[7, 6, 1, 0, 2, 3, 5, 4, 8, 9]",3629
7,"[9, 5, 2, 0, 8, 7, 4, 3, 1, 6]",3171
8,"[2, 8, 5, 0, 4, 7, 3, 1, 6, 9]",3103
9,"[8, 4, 9, 3, 2, 6, 5, 1, 0, 7]",3746
10,"[5, 0, 2, 3, 1, 4, 7, 9, 6, 8]",3983
11,"[5, 2, 8, 3, 6, 4, 1, 9, 0, 7]",3692
12,"[5, 6, 1, 8, 2, 4, 0, 3, 7, 9]",3599
13,"[3, 7, 9, 0, 1, 8, 2, 5, 4, 6]",3209
14,"[6, 0, 2, 1, 3, 4, 9, 8, 5, 7]",3091
15,"[6, 1, 3, 2, 0, 8, 4, 9, 5, 7]",2390
16,"[2, 3, 6, 0, 5, 7, 1, 4, 8, 9]",3054
17,"[6, 1, 8, 0, 4, 5, 3, 2, 9, 7]",3398
18,"[2, 1, 4, 3, 8, 6, 9, 7, 5, 0]",2820
19,"[6, 9, 1, 8, 4, 0, 7, 3, 2, 5]",3738
20,"[4, 6, 2, 0, 3, 8, 1, 5, 9, 7]",3459
