excution_number,best_genes,best_fitness
1,"[4, 1, 0, 8, 7, 5, 3, 6, 2, 9]",3990
2,"[3, 0, 8, 1, 7, 6, 4, 5, 2, 9]",2969
3,"[1, 0, 3, 2, 8, 7, 5, 4, 6, 9]",3161
4,"[7, 8, 5, 4, 0, 9, 1, 3, 6, 2]",2931
5,"[7, 9, 1, 8, 0, 2, 5, 6, 3, 4]",3200
6,"[2, 3, 4, 1, 7, 0, 5, 9, 6, 8]",3652
7,"[3, 5, 9, 7, 0, 4, 2, 1, 6, 8]",3275
8,"[6, 2, 3, 8, 9, 7, 0, 5, 1, 4]",2780
9,"[7, 1, 0, 9, 3, 4, 6, 5, 2, 8]",3327
10,"[9, 8, 0, 6, 1, 4, 3, 2, 5, 7]",3221
11,"[1, 4, 0, 7, 2, 3, 6, 8, 5, 9]",4476
12,"[8, 0, 4, 1, 2, 9, 5, 3, 6, 7]",3367
13,"[3, 6, 5, 1, 0, 2, 7, 4, 9, 8]",3359
14,"[6, 4, 8, 1, 0, 3, 7, 2, 9, 5]",2605
15,"[6, 4, 0, 1, 7, 8, 3, 5, 9, 2]",3265
16,"[5, 3, 1, 7, 0, 2, 4, 6, 9, 8]",3648
17,"[3, 0, 1, 7, 6, 2, 9, 4, 5, 8]",3121
18,"[7, 2, 1, 3, 5, 4, 9, 0, 6, 8]",3725
19,"[6, 9, 0, 7, 8, 3, 2, 1, 5, 4]",3358
20,"[2, 1, 7, 3, 6, 9, 0, 4, 5, 8]",4300
