excution_number,best_genes,best_fitness
1,"[7, 4, 3, 2, 0, 1, 5, 9, 6, 8]",2750
2,"[5, 0, 1, 9, 3, 6, 4, 2, 7, 8]",4110
3,"[7, 0, 1, 3, 6, 4, 9, 2, 5, 8]",2633
4,"[2, 1, 9, 3, 5, 0, 8, 4, 7, 6]",3271
5,"[4, 3, 0, 6, 8, 2, 9, 5, 1, 7]",3348
6,"[0, 3, 6, 2, 5, 1, 4, 8, 9, 7]",2970
7,"[9, 4, 2, 3, 5, 0, 8, 1, 6, 7]",3186
8,"[8, 1, 9, 2, 3, 5, 4, 6, 7, 0]",3102
9,"[5, 4, 9, 7, 6, 1, 2, 8, 0, 3]",2932
10,"[8, 4, 0, 7, 1, 3, 9, 5, 6, 2]",3429
11,"[8, 1, 9, 0, 3, 4, 6, 7, 2, 5]",4084
12,"[6, 4, 2, 7, 5, 1, 8, 0, 3, 9]",3074
13,"[3, 7, 4, 0, 1, 9, 2, 5, 6, 8]",4347
14,"[9, 8, 2, 5, 3, 0, 6, 4, 7, 1]",3535
15,"[4, 2, 3, 5, 1, 9, 7, 0, 6, 8]",2986
16,"[5, 7, 1, 3, 9, 4, 2, 8, 0, 6]",3481
17,"[0, 4, 6, 5, 3, 7, 2, 8, 9, 1]",4149
18,"[3, 2, 0, 7, 1, 8, 6, 4, 5, 9]",4182
19,"[5, 7, 1, 8, 0, 3, 6, 4, 2, 9]",2736
20,"[4, 1, 6, 9, 8, 5, 7, 0, 3, 2]",3852
