excution_number,best_genes,best_fitness
1,"[3, 4, 9, 1, 2, 0, 7, 6, 8, 5]",3552
2,"[4, 7, 3, 0, 2, 6, 1, 5, 9, 8]",2805
3,"[9, 6, 5, 1, 8, 7, 3, 0, 4, 2]",3228
4,"[9, 8, 7, 6, 1, 0, 5, 2, 4, 3]",3021
5,"[0, 8, 7, 5, 9, 3, 6, 4, 2, 1]",2933
6,"[3, 6, 1, 8, 5, 2, 4, 7, 0, 9]",3930
7,"[9, 2, 3, 6, 1, 4, 5, 8, 7, 0]",3927
8,"[3, 8, 4, 5, 9, 6, 7, 2, 0, 1]",2647
9,"[7, 2, 0, 4, 8, 1, 5, 9, 6, 3]",3038
10,"[7, 6, 1, 2, 0, 3, 5, 9, 4, 8]",2908
11,"[3, 7, 0, 1, 5, 8, 4, 6, 2, 9]",2442
12,"[7, 9, 8, 0, 3, 4, 1, 2, 6, 5]",2618
13,"[1, 2, 5, 0, 9, 4, 6, 3, 7, 8]",2599
14,"[7, 5, 9, 2, 4, 3, 8, 0, 1, 6]",2552
15,"[2, 1, 7, 0, 3, 5, 4, 8, 6, 9]",4011
16,"[5, 0, 9, 1, 3, 7, 6, 8, 4, 2]",3404
17,"[4, 9, 0, 2, 8, 3, 1, 7, 6, 5]",2257
18,"[4, 7, 3, 1, 2, 6, 8, 0, 9, 5]",2871
19,"[1, 6, 0, 5, 2, 8, 3, 9, 4, 7]",3825
20,"[0, 2, 1, 7, 6, 4, 5, 3, 8, 9]",3216
